userID,placeID,rating,food_rating,service_rating,latitude_user,longitude_user,smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,birth_year,interest,personality,religion,activity,color,weight,budget,height,latitude_rest,longitude_rest,the_geom_meter,name,address,city,state,zip,alcohol,smoking_area,dress_code,accessibility,price,Rambience,franchise,area,Rcuisine,Rcuisine_restcuisine,age,dist_user_restaurant,match_cuisine,restaurant_popularity,rating_comida_service,preference_ambience_match,smoker_bin,franchise_bin
U1077,135085,1,2,2,22.156469,-100.98554,false,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,22.150802,-100.98268,0101000020957F00009F823DA6094858C18A2D4D37F9A44B41,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,san luis potosi,san luis potosi,78000,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,f,closed,Mexican,Fast_Food,38,0.006347794026275506,0,36,2.0,perfect match,0.0,0
U1077,135038,1,2,1,22.156469,-100.98554,false,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,22.155651,-100.977767,0101000020957F0000506149736E4758C1A8BC93DA48A34B41,Restaurant la Chalita,Guajardo Sn San Luis Potosi Centro,san luis potosi,san luis potosi,78000,No_Alcohol_Served,section,informal,no_accessibility,medium,familiar,f,closed,Mexican,,38,0.007815923042098603,0,24,1.5,perfect match,0.0,0
U1077,132825,1,2,2,22.156469,-100.98554,false,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,esquina santos degollado y leon guzman,san luis potosi,san luis potosi,78280,No_Alcohol_Served,,informal,completely,low,familiar,f,open,Mexican,Mexican,38,0.009401117074053047,1,32,2.0,perfect match,0.0,0
U1077,135060,1,2,2,22.156469,-100.98554,false,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,22.156883,-100.978485,0101000020957F00004C95C918394758C17A5C44896AA34B41,Restaurante Marisco Sam,Ignacio Allende 785 Centro,san luis potosi,san luis potosi,78310,No_Alcohol_Served,,informal,no_accessibility,medium,familiar,f,closed,Mexican,Seafood,38,0.007067136690337555,0,22,2.0,perfect match,0.0,0
U1068,135104,1,1,2,23.752269,-99.168605,false,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,23.752982100000004,-99.16843409999998,0101000020957F00007CDF5EAFC58157C1645743B23E4F4941,vips,,,,,Full_Bar,not permitted,informal,completely,medium,familiar,t,closed,Mexican,Mexican,37,0.0007332928610134583,1,7,1.5,compatible,0.0,1
U1068,132740,0,0,0,23.752269,-99.168605,false,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,23.7521965,-99.1666317,0101000020957F000027A30471EE8157C1AC17D61EC84E4941,Carreton de Flautas y Migadas,,ciudad victoria,tamaulipas,,No_Alcohol_Served,permitted,informal,completely,low,familiar,f,open,Mexican,Mexican,37,0.001974631393453427,1,8,0.0,compatible,0.0,0
U1068,132663,1,1,1,23.752269,-99.168605,false,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,23.7525107,-99.1669536,0101000020957F0000FDF8D26EE08157C1FEDB6A1FDB4E4941,tacos abi,,ciudad victoria,tamaulipas,,No_Alcohol_Served,,informal,completely,low,familiar,f,closed,Mexican,Mexican,37,0.0016689939634403491,1,6,1.0,compatible,0.0,0
U1068,132732,0,0,0,23.752269,-99.168605,false,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,23.7543569,-99.171288,0101000020957F00008A20E615808157C16272FECBF84F4941,Taqueria EL amigo ,Calle Mezquite Fracc Framboyanes,ciudad victoria,tamaulipas,87018,No_Alcohol_Served,,casual,completely,low,familiar,f,open,Mexican,Mexican,37,0.0033996787215907855,1,8,0.0,compatible,0.0,0
U1068,132630,1,1,1,23.752269,-99.168605,false,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,23.7529305,-99.1644725,0101000020957F000047206572DE8157C1D3315028254E4941,palomo tec,blvrd emilio portes gil,ciudad victoria,tamaulipas,,No_Alcohol_Served,,informal,completely,low,familiar,f,closed,Mexican,Mexican,37,0.004185109138359615,1,6,1.0,compatible,0.0,0
U1067,132584,1,2,2,23.752269,-99.168605,false,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,23.7523648,-99.1652879,0101000020957F000048C65BA7EF8157C177F2344D664E4941,Gorditas Dona Tota,,,,,No_Alcohol_Served,not permitted,informal,completely,medium,familiar,t,closed,Mexican,Mexican,38,0.0033184830947325327,1,6,2.0,perfect match,0.0,1
